NAME,RA,DEC,PER 
upsilon And b,1.61332777765,41.406386111
epsilon Eri b,3.54900555505,-9.45830555545
beta Pic b,5.78807777776,-51.0667138889
beta Gem b,7.75537777795,28.0263111115
HD 76700 b,8.89886944453,-66.8012861111
HD 83443 b,9.61994722234,-43.2719111109
bet UMi b,14.8451111115,74.1554749997
iota Dra b,15.4154944441,58.9660222223
HD 179949 b,19.2592083338,-24.1791055552
HD 209458 b,22.0529861111,18.8843638889
GJ 876 c,22.8878222222,-14.2620583333
51 Peg b,22.9577361112,20.7686833334
Fomalhaut b,22.9607861116,-29.6218361113
