Simple cross-match for lofar and exoplanets_magper

Simple cross-match with a radius of 5 
CygA -> Kepler-1425 b -> 14.4541302
CygA -> Kepler-116 b -> 5.968734
CygA -> Kepler-84 e -> 27.434389
CygA -> Kepler-315 b -> 96.101141
CygA -> Kepler-1238 b -> 4.14787559
CygA -> Kepler-757 b -> 1.02267882
CygA -> Kepler-136 b -> 11.5789
CygA -> Kepler-305 d -> 16.738661
CygA -> Kepler-96 b -> 16.23844
CygA -> Kepler-11 d -> 22.6845
CygA -> Kepler-106 b -> 6.16486
CygA -> Kepler-946 b -> 11.79162572
CygA -> Kepler-1603 b -> 2.27163926
CygA -> Kepler-84 d -> 4.224537
CygA -> Kepler-463 b -> 8.98101683
CygA -> Kepler-123 c -> 26.695074
CygA -> Kepler-493 b -> 3.00387658
CygA -> Kepler-1607 b -> 13.6473676
CygA -> Kepler-882 b -> 3.98953967
CygA -> Kepler-1351 b -> 0.91614077
CygA -> Kepler-577 b -> 25.69578251
CygA -> Kepler-433 b -> 5.33408384
CygA -> Kepler-377 c -> 27.014976
CygA -> Kepler-379 c -> 62.784697
CygA -> Kepler-315 c -> 265.469335
CygA -> Kepler-80 c -> 9.522
CygA -> Kepler-476 b -> 14.00640607
CygA -> Kepler-1608 b -> 16.4735686
CygA -> Kepler-1115 b -> 23.5540725
CygA -> Kepler-168 c -> 13.193242
CygA -> Kepler-84 f -> 44.552169
CygA -> Kepler-874 b -> 40.0686727
CygA -> Kepler-1039 b -> 0.93488424
CygA -> Kepler-827 b -> 51.92927591
CygA -> Kepler-1057 b -> 14.08827448
CygA -> Kepler-963 b -> 9.97683705
CygA -> Kepler-340 b -> 14.844387
CygA -> Kepler-11 e -> 31.9996
CygA -> Kepler-48 d -> 42.8961
CygA -> Kepler-1490 b -> 92.4362973
CygA -> Kepler-448 b -> 17.8552333
CygA -> Kepler-399 d -> 58.034616
CygA -> Kepler-348 c -> 17.265427
CygA -> Kepler-965 b -> 134.2527298
CygA -> Kepler-48 c -> 9.67395
CygA -> Kepler-1241 b -> 18.5525701
CygA -> Kepler-1360 b -> 40.5286413
CygA -> Kepler-251 d -> 30.133001
CygA -> Kepler-186 e -> 22.407793
CygA -> Kepler-1589 b -> 0.99166527
CygA -> Kepler-1571 b -> 3.38555488
CygA -> Kepler-1468 b -> 8.23984869
CygA -> Kepler-1368 b -> 0.67564949
CygA -> Kepler-944 b -> 43.3167737
CygA -> Kepler-437 b -> 66.65062
CygA -> Kepler-712 c -> 226.89047
CygA -> Kepler-755 b -> 1.26909037
CygA -> Kepler-825 b -> 3.77360059
CygA -> Kepler-1220 b -> 7.42693741
CygA -> Kepler-199 b -> 23.637604
CygA -> Kepler-246 b -> 4.60182
CygA -> Kepler-1176 b -> 24.1738579
CygA -> Kepler-112 b -> 8.408878
CygA -> Kepler-1326 b -> 42.3514267
CygA -> Kepler-492 b -> 11.72012266
CygA -> Kepler-548 b -> 4.45419434
CygA -> Kepler-1090 b -> 198.680179
CygA -> Kepler-312 b -> 1.772419
CygA -> Kepler-911 b -> 20.310501
CygA -> Kepler-171 c -> 11.463462
CygA -> Kepler-576 b -> 29.91136794
CygA -> Kepler-312 c -> 19.747412
CygA -> Kepler-1591 b -> 8.18504949
CygA -> Kepler-146 c -> 76.732171
CygA -> Kepler-136 c -> 16.399235
CygA -> Kepler-1353 b -> 24.7543966
CygA -> Kepler-436 b -> 64.00205
CygA -> Kepler-1593 b -> 174.509835
