NAME,RA,DEC 
3XMM J194013.3+401145,295.055498091,40.1960987608
3XMM J194014.6+400458,295.061034682,40.083055513
3XMM J194018.9+400454,295.078997588,40.0818355659
3XMM J194021.6+401547,295.090213056,40.2633079853
3XMM J194030.8+400643,295.128503357,40.112141066
3XMM J194033.4+401557,295.139554677,40.2659443394
3XMM J194035.1+401153,295.146516241,40.1981142233
3XMM J194037.1+400633,295.154614442,40.1093289656
3XMM J194037.1+401141,295.15465664,40.1947437375
3XMM J194039.8+400453,295.166033866,40.0814360626
3XMM J194040.0+402101,295.16696649,40.3502969079
3XMM J194040.1+401229,295.167340819,40.208324685
3XMM J194041.5+400747,295.17320206,40.1298309366
3XMM J194042.4+400412,295.176938285,40.0701942907
3XMM J194046.9+402154,295.195724842,40.3650001848
3XMM J194048.6+401958,295.202581419,40.3328765864
3XMM J194049.0+400616,295.204398975,40.1046836154
3XMM J194049.3+401440,295.205610198,40.2445480195
3XMM J194050.1+401651,295.208953704,40.2809784253
3XMM J194051.3+401008,295.214056037,40.1689062432
3XMM J194053.0+400401,295.22096653,40.0671300745
3XMM J194053.4+401557,295.222869453,40.2658746244
3XMM J194054.2+401038,295.225950104,40.1774680392
3XMM J194055.4+401244,295.231052553,40.2123640766
3XMM J194056.4+401543,295.235072285,40.2619630162
3XMM J194056.4+395601,295.235073988,39.9336641214
3XMM J194057.4+402031,295.239311102,40.3421253261
3XMM J194059.4+400702,295.247793581,40.1173386671
3XMM J194101.6+400412,295.256722997,40.0701949184
3XMM J194105.5+401431,295.273163981,40.2421598079
3XMM J194106.2+401144,295.27589939,40.1956240826
3XMM J194106.5+400752,295.277327798,40.1312055876
3XMM J194109.3+400344,295.288898761,40.0623424607
3XMM J194111.9+401044,295.299660988,40.1789447673
3XMM J194112.8+401722,295.303394465,40.2895788843
3XMM J194112.8+400628,295.303642622,40.1080104496
3XMM J194113.2+401249,295.305411914,40.2137593676
3XMM J194114.1+401406,295.30891278,40.2351789565
3XMM J194115.8+401233,295.315884026,40.2091977096
3XMM J194115.8+401724,295.316173905,40.2902230438
3XMM J194116.3+400231,295.318097721,40.0420143116
3XMM J194117.0+401114,295.320884636,40.1874792968
3XMM J194118.6+401416,295.327772969,40.2380521555
3XMM J194120.8+400159,295.33687539,40.0331380734
3XMM J194121.1+400046,295.338088759,40.0129640898
3XMM J194121.2+395717,295.338551787,39.9547626964
3XMM J194121.3+402334,295.339075896,40.3928937972
3XMM J194122.0+401201,295.341694379,40.2005219039
3XMM J194122.4+401307,295.343637835,40.218826676
3XMM J194123.3+401227,295.347139294,40.2075203491
3XMM J194125.4+401145,295.355858074,40.1958899668
3XMM J194125.4+402011,295.356179105,40.3366251546
3XMM J194125.8+401223,295.357721951,40.2065855025
3XMM J194126.7+401258,295.361341728,40.2163081249
3XMM J194127.1+400919,295.363290125,40.1554940123
3XMM J194129.2+401124,295.371743832,40.1901425584
3XMM J194130.1+400351,295.375649413,40.0642269635
3XMM J194131.3+402034,295.380504695,40.3429655429
3XMM J194132.6+400011,295.385896326,40.0031583156
3XMM J194134.2+400633,295.392582949,40.1094330488
