NAME,RA,DEC 
SMC-SMP03,8.5916667,-73.2225
SK155,18.7091667,-73.3381111
AZV132,13.1741907,-73.2027089
SMC-N81-08,17.3034813,-73.1945025
SMC-N81-03,17.3056571,-73.1939856
SMC-N81-04,17.3035417,-73.193975
SMC-N81-01,17.3044508,-73.1939678
SMC-N81-02,17.3043521,-73.1939
SMC-N81-11,17.3072496,-73.1925892
SMC-N81-13,17.3170125,-73.1914197
CCDFLAT,18.3696669,-73.2615717
2DFS3030,18.6671667,-73.2706944
2DFS0662,11.94,-73.2270833
CCDFLAT,17.0537874,-73.2417736
SMC-N81,17.3020833,-73.1938889
SK157,18.9662917,-73.3468611
SMC-N81-03,17.3056571,-73.1939856
SMC-N81-01,17.3044508,-73.1939678
SMC-N81-02,17.3043521,-73.1939
SK157,18.9662917,-73.3468611
SMC-N81-11,17.3072496,-73.1925892
AV446,17.3561374,-73.1583436
SMC-N81-08,17.3034813,-73.1945025
SMC-N81-04,17.3035417,-73.193975
SMC-N81-13,17.3170125,-73.1914197
2DFS3171,19.03825,-73.2108
MR12-STAR11,11.393415,-73.3115639
MR12-STAR10,11.4048333,-73.3110972
MR12-STAR09,11.3962621,-73.3099639
MR12-STAR08,11.389845,-73.3084889
LMC-SMP-98,94.3983333,-73.2094722
AV26,11.9587917,-73.1390833
AV136,13.21375,-73.1147778
AZV26,11.9585833,-73.1392139
AV14,11.6360833,-73.1015556
CCDFLAT,11.5639092,-73.1812357
SMC-N12A,11.64275,-73.0981111
SMC-SMP-27,20.29625,-73.2425
AV22,11.9113917,-73.1301111
SMC-SMP3,8.59125,-73.2224556
2DFS0626,11.7326667,-73.1039444
UNKNOWN-TARGET-1,21.2670084,-73.1085762
PAR-TARGET,21.3049404,-73.2601391
AZV18,11.80075,-73.1090556
PAR-TARGET,11.7598067,-73.2362991
AZV18,11.80075,-73.1090556
AV18,11.8006125,-73.1090389
UNKNOWN-TARGET-1,21.0541816,-73.0710165
PAR-TARGET,21.486941,-73.1563914
UNKNOWN-TARGET-1,21.0539445,-73.0709463
PAR-TARGET,21.4867021,-73.1563218
LIST-1,21.3559793,-73.1262236
UNKNOWN-TARGET-1,21.2752183,-73.0871545
PAR-TARGET,21.313175,-73.2387159
2DFS3171,19.0385,-73.2107222
CCDFLAT,19.1997991,-73.1383299
SK18,11.9585417,-73.1391944
AZV18,11.8007,-73.1090778
SK18,11.9585417,-73.1391944
CCDFLAT,11.5055479,-73.1168972
AZV18,11.8009167,-73.1092222
SMC-N88A-OFFSET,21.0450292,-73.1558861
SMC-N88A,21.0320042,-73.1513917
SMC-J-18,12.9325,-73.0150556
SMC-N88-38,21.0464646,-73.1558622
AV26,11.958625,-73.1390833
SMC-N88-71,21.0211463,-73.15434
SMC-N88-55,21.0381358,-73.1518428
SMC-J-8,12.1520833,-72.9666667
LMC-SMP-94,88.5446667,-73.0465833
SMC-MG-13,25.79375,-72.95075
2DFS0699,12.19525,-72.9808611
SMC-J-27,14.9322083,-72.9554444
SMC-J-26,14.6766667,-72.9497222
SMC-MG-2,7.0420833,-72.9790833
SMC-MA-1762,18.1691667,-72.8961111
DI1388,44.29975,-72.8818333
PAR-TARGET,44.5491315,-73.0150576
AV75,12.6349167,-72.8766389
AV423,16.9184583,-72.8498889
2DFS0699,12.19525,-72.9808611
CCDFLAT,12.4075322,-72.9213053
SMC-J-23,13.8775,-72.8388889
AV377,16.2805417,-72.8050833
STAR-025713-725256,44.29975,-72.8818333
AV372,16.2322083,-72.7799167
AV377,16.2805417,-72.8050833
HI-LATITUDE-FIELD,44.193424,-72.9731602
AZV80,12.68245,-72.7948611
AV69,12.5719583,-72.8915556
AV75,12.634875,-72.8766111
AZV95,12.8399083,-72.7374722
CCDFLAT,12.8840679,-72.8208054
AV377,16.2805417,-72.8050833
AV216,14.7465875,-72.7427056
SMC-J-20,13.2966667,-72.7519444
HD109399,188.8188855,-72.7169022
AZV456,17.732375,-72.7155222
AV80,12.6824583,-72.7947222
AZV456,17.732375,-72.7155222
AV216,14.7465875,-72.7427056
LMC-SMP87,85.2838333,-72.7022833
CCDFLAT,17.462588,-72.7473532
AZV456,17.7323833,-72.7156306
UNKNOWN-TARGET-1,11.5501916,-72.6664982
AV223,14.806,-72.6506667
AV-243,15.0283208,-72.7886278
AV304,15.5892917,-72.6540667
AV95,12.8397917,-72.7373611
AV104,12.9105208,-72.8015278
AV83,12.7167083,-72.7040278
AZV4,11.2641667,-72.6991944
AV304,15.5892917,-72.6540667
SMC-HV1620,13.6597917,-72.5352222
SMC-SMP05,10.3394551,-72.755205
HD-6655,16.3258637,-72.5540194
HI-LATITUDE-FIELD,16.5063212,-72.6776857
AV215,14.7317083,-72.5355833
AV304,15.5891667,-72.6540556
JL9,287.086548,-72.509537
SMC-SMP-8,10.85625,-72.6383611
HD99872,172.0767246,-72.4739806
CCDFLAT,172.1536987,-72.5569605
NGC330-B37,14.0867167,-72.4760972
NGC330-A01,14.1076333,-72.4647667
AZV388,16.4148125,-72.4908917
NGC330-A01,14.1076333,-72.4647667
HD99872,172.0762684,-72.4739971
NGC330-B37,14.0867167,-72.4760972
SMC-MA-1682,17.2666667,-72.4858333
HD99872,172.0771564,-72.4746929
NGC330-B22,14.0419292,-72.459
MFH2007-SMC5-398,13.51125,-72.4279444
CCDFLAT,13.578488,-72.5116723
NGC330-A01,14.1076333,-72.4647667
AV451,17.6084167,-72.3913333
LMC-SMP-6,71.9130417,-72.4725
SMC-SMP16,12.8641667,-72.4363333
NGC330-B22,14.0419292,-72.459
SMC-HV1876,15.465375,-72.3648333
AV451,17.6084167,-72.3913333
NGC330-116,13.8605417,-72.4593611
NGC330-110,14.0865,-72.4403889
NGC330-114,14.2375417,-72.425475
PAR-TARGET,14.243366,-72.3436811
HD99872,172.0766531,-72.4739815
HI-LATITUDE-FIELD,336.4433395,-72.5074112
AV469,18.1206667,-72.4913333
SMC5-000398,13.5110417,-72.4279444
AV415,16.8258333,-72.4676389
AZV404,16.6220833,-72.3690278
AV-388,16.4151,-72.4907778
SMC5-003739,14.3077,-72.3750278
NGC330-A02,14.1035625,-72.4616083
AZV218,14.7675346,-72.3278658
NGC330-A02,14.1035625,-72.4616083
PAR-TARGET,336.6702921,-72.4882803
HD211998,336.1497601,-72.2548833
NGC330-B22,14.0419292,-72.459
SMC5-079264,13.9585,-72.32325
AV451,17.6084167,-72.3913333
HD211998,336.1585781,-72.2562625
AV210,14.6489292,-72.273575
HD211998,336.1585812,-72.2562631
AV393,16.4845833,-72.3291111
AV296,15.5360417,-72.2222778
AV396,16.517375,-72.2260556
CCDFLAT,13.2746982,-72.2766176
MFH2007-SMC5-82923,13.359125,-72.1944167
NGC346-682,14.8280417,-72.1865833
NGC346-113-OFFSET,14.6326667,-72.1833611
AV61,12.5078333,-72.1906944
NGC346-637,14.8109167,-72.1996694
NGC346-LL,14.7886,-72.191914
NGC346-487,14.7786667,-72.1786389
ANY,15.1659267,-72.2274162
NGC346-ML,14.7996,-72.187214
NGC346-435,14.7695,-72.1740556
NGC346-324,14.7398333,-72.1765833
ANY,15.1269477,-72.2254371
NGC346-368,14.7583333,-72.1759167
ANY,15.1454824,-72.2247341
NGC346-LR,14.7553,-72.184814
NGC346-355-OFFSET,14.7539167,-72.1750833
ANY,15.1410182,-72.2238925
SMC-N66NW,14.7330833,-72.1728611
CCDFLAT,14.8254607,-72.2543247
NGC346-UL,14.8115,-72.181913
NGC346,14.7529167,-72.1664722
NGC346-E,14.7674,-72.180222
NGC346-MR,14.7663,-72.180113
NGC346-F,14.7631,-72.179714
NGC346-M,14.7677,-72.179114
NGC346,14.7529167,-72.1664722
NGC346-C,14.7763,-72.178514
NGC346-368,14.7622787,-72.1764067
NGC346-487-REVISED,14.7777917,-72.1779556
NGC346-368,14.7584565,-72.1756479
NGC346-D,14.767,-72.177114
NGC346-368,14.7565456,-72.1752685
NGC346-L,14.7612,-72.176814
NGC346-368,14.7553122,-72.1750236
HD--005980,14.86125,-72.165
NGC346-368,14.7546347,-72.1748891
