NAME,RA,DEC 
GJ560B,220.618208,-64.978694
HD131491,224.15975,-62.364417
HD131492,224.183292,-62.781028
HD133699,227.188458,-61.633778
HD133738,227.263792,-61.887583
:HD137509,232.863,-71.062139
HD138679,234.167125,-60.550306
HD139084,234.739625,-57.70775
HD137333,235.820417,-84.465278
HE2-138,239.007375,-66.1523333
HD148422,247.7497083,-56.4951389
ALPHA-TRA,252.166208,-69.027722
CPD-741569,252.708958,-74.538972
HD153262,255.475333,-59.047583
HD154154,256.529625,-48.418667
CPD-69D2698,258.137042,-70.085694
HD155555,259.356167,-66.95125
HD158243,262.779625,-53.4785833
HD160635,266.43325,-64.723806
HD161783,267.618292,-53.612406
HD164073,270.502333,-48.810444
HD172555,281.362208,-64.8715
CD-64D1208,281.404292,-64.862528
HD174429,283.274458,-50.180528
HD178085,287.741042,-60.272194
HD181296,290.713359,-54.423931
HD181327,290.745583,-54.538056
HD186602,297.280417,-61.815
HD191466,303.242,-56.846639
HD192273,304.776375,-69.435139
HD195627,308.8955,-60.582111
HD195772,309.15975,-63.120972
HD195961,309.397125,-61.529917
HD196519,310.48775,-66.760639
HD202746,320.352042,-66.915944
HD203532,323.476958,-82.683056
