NAME,RA,DEC 
J194639.8+444702,296.6659,44.7841
J194656.3+445235,296.73471,44.87661
J194703.1+445413,296.763,44.90388
J194707.6+445251,296.78202,44.88085
J194718.8+444807,296.82843,44.80206
J194719.3+444942,296.83065,44.82841
J194742.7+444501,296.9282,44.75036
J194745.0+445100,296.93759,44.85008
J195246.5+441519,298.19398,44.25551
J195254.6+443225,298.22828,44.54019
J195304.9+441739,298.27088,44.29393
J195306.9+443137,298.27888,44.52714
J195319.7+442005,298.33215,44.33472
J195322.8+442330,298.34503,44.39182
J195326.2+441749,298.3594,44.29701
J195327.0+441941,298.3625,44.32831
J195327.8+443057,298.36595,44.51594
J195332.6+442727,298.38614,44.45775
J195336.3+442422,298.40143,44.40613
J195338.8+442356,298.41196,44.399
J195340.8+441603,298.42029,44.26753
J195344.3+442427,298.43488,44.40756
J195344.9+443037,298.43713,44.51032
J195348.7+441204,298.4531,44.20134
J195352.4+443121,298.46852,44.52277
J195353.0+442524,298.47116,44.4234
J195353.9+441736,298.47461,44.29342
J195354.4+442452,298.47696,44.41463
J195354.5+442450,298.47742,44.41409
J195355.0+442121,298.47951,44.35606
J195355.1+442453,298.47969,44.41491
J195355.2+442451,298.4802,44.41444
J195355.4+442734,298.48116,44.4597
J195357.5+442649,298.48963,44.44722
J195357.9+442032,298.49158,44.34227
J195358.5+442419,298.49389,44.40542
J195401.7+442753,298.50718,44.46477
J195403.8+442551,298.51604,44.43085
J195403.9+442415,298.51649,44.40441
J195405.1+441311,298.52128,44.21972
J195405.6+443222,298.52341,44.53947
J195408.1+442216,298.53385,44.37121
J195416.4+442430,298.56869,44.40859
J195421.7+442439,298.5905,44.41101
J195424.3+442118,298.6013,44.35504
J195425.2+441708,298.60505,44.28561
J195428.3+441732,298.61824,44.29247
J195428.3+442042,298.61801,44.34521
J195429.2+442515,298.62203,44.42098
J195433.1+442006,298.63827,44.33506
J195507.2+441824,298.77999,44.30686
J195827.4+404734,299.61435,40.79279
J195834.0+404854,299.64167,40.81526
J195838.5+403919,299.66055,40.65541
J195838.5+404728,299.66068,40.79132
J195841.6+405301,299.67346,40.88364
J195843.6+404144,299.68181,40.69573
J195844.7+404014,299.68663,40.67083
J195846.2+404918,299.69278,40.82186
J195847.0+404946,299.69596,40.8297
J195847.9+405355,299.69964,40.89866
J195849.6+405252,299.707,40.88132
J195849.7+405750,299.70722,40.96405
J195850.0+410345,299.70868,41.06265
J195853.9+404452,299.72466,40.74798
J195855.2+404038,299.72999,40.67727
J195855.3+404934,299.73057,40.82633
J195857.9+404856,299.74148,40.81566
J195859.6+404155,299.74862,40.69863
J195859.7+404620,299.7491,40.77236
J195905.2+404446,299.77184,40.74634
J195907.0+405452,299.77926,40.91461
J195907.9+403706,299.78319,40.61839
J195909.7+405454,299.79072,40.91517
J195910.0+404249,299.79191,40.71372
J195910.0+405252,299.79181,40.88123
J195912.0+404217,299.8002,40.70484
J195918.1+405429,299.82578,40.9081
J195919.7+403937,299.83247,40.66055
J195922.8+405508,299.84508,40.91916
J195928.1+405356,299.86721,40.89905
J195932.5+404849,299.88566,40.81365
J195935.3+404754,299.89736,40.79847
J195935.9+402845,299.8997,40.47926
J195936.0+405001,299.90007,40.83386
J195937.1+404638,299.90466,40.77748
J195937.8+404603,299.90782,40.76761
J195938.1+403151,299.90908,40.53103
J195938.4+404917,299.91012,40.8215
J195939.5+403741,299.91485,40.62825
J195941.0+403634,299.92092,40.60957
J195944.6+405415,299.93604,40.90432
J195944.7+404907,299.93656,40.81877
J195945.9+405136,299.94127,40.86016
J195946.2+405208,299.94271,40.86909
J195947.1+404921,299.94633,40.82256
J195949.0+404153,299.95426,40.69813
J195952.3+404301,299.96797,40.71716
J195952.7+404819,299.96997,40.80549
J195955.1+404519,299.97998,40.75537
