NAME1           NAME2                       PER
J085121.6+1152  M 67 YBP 1514          6.66839
J085121.7+1152  M 67 YBP 1194         45.1555
J085121.7+1152  M 67 YBP 1514          6.66839
J085122.8+1148  M 67 YBP 1194         45.1555
J085122.8+1148  M 67 YBP 1514          6.66839
J085123.2+1147  M 67 YBP 1194         45.1555
J085123.2+1147  M 67 YBP 1514          6.66839
J085123.2+1148  M 67 YBP 1194         45.1555
J085123.2+1148  M 67 YBP 1514          6.66839
J085123.7+1149  M 67 YBP 1194         45.1555
J085123.7+1149  M 67 YBP 1514          6.66839
J085124.7+1153  M 67 YBP 1194         45.1555
J085124.7+1153  M 67 YBP 1514          6.66839
J085125.0+1148  M 67 YBP 1194         45.1555
J085125.0+1148  M 67 YBP 1514          6.66839
J085125.3+1157  M 67 YBP 1194         45.1555
J085125.3+1157  M 67 YBP 1514          6.66839
J085126.6+1156  M 67 YBP 1194         45.1555
J085126.6+1156  M 67 YBP 1514          6.66839
J085126.9+1146  M 67 YBP 1194         45.1555
J085126.9+1146  M 67 YBP 1514          6.66839
J085127.1+1146  M 67 YBP 1194         45.1555
J085127.1+1146  M 67 YBP 1514          6.66839
J085127.1+1155  M 67 YBP 1194         45.1555
J085127.1+1155  M 67 YBP 1514          6.66839
J085127.3+1145  M 67 YBP 1194         45.1555
J085127.3+1145  M 67 YBP 1514          6.66839
J085128.1+1149  M 67 YBP 1194         45.1555
J085128.1+1149  M 67 YBP 1514          6.66839
J085128.3+1141  M 67 YBP 1194         45.1555
J085128.3+1141  M 67 YBP 1514          6.66839
J085128.3+1146  M 67 YBP 1194         45.1555
J085128.3+1146  M 67 YBP 1514          6.66839
J085128.4+1152  M 67 YBP 1194         45.1555
J085128.4+1152  M 67 YBP 1514          6.66839
J085128.8+1148  M 67 YBP 1194         45.1555
J085128.8+1148  M 67 YBP 1514          6.66839
J085129.8+1144  M 67 YBP 1194         45.1555
J085129.8+1144  M 67 YBP 1514          6.66839
J085130.2+1154  M 67 YBP 1194         45.1555
J085130.2+1154  M 67 YBP 1514          6.66839
