NAME,DEC,RA,TRANSIT,TRANSITURL,TRANSITREF,SE,SEURL,SEREF,MSTAR,IMAGING,TIMING,ASTROMETRY,MICROLENSING,MASS,PER
Kepler-1592 b,38.39775000042385,19.59004444440206,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.18,0,0,0,0,0.0115145,3.05710069
Kepler-384 b,44.78286944495307,19.06841111116939,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00436179,22.597053
Kepler-380 c,48.75913888931274,18.8263111114502,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00674351,7.630004
Kepler-631 b,40.22822222179837,19.79238333384196,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.24,0,0,0,0,0.0252452,17.97979059
Kepler-565 b,47.19669444402059,18.90786388874054,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.98,0,0,0,0,0.0409391,4.24374723
Kepler-176 e,43.85324999994702,19.64453055593702,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0,0,0,0,0,0.010441,51.16579
55 Cnc b,28.33138888888889,8.876702778074478,0,,,0,,,0.905,0,0,0,0,0.801471,14.651
Kepler-749 b,43.90391666677263,19.99315000004239,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.79,0,0,0,0,0.028747,17.31716585
Kepler-1525 b,49.94302777820163,19.37063333325916,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.07,0,0,0,0,0.00206633,2.41660118
Kepler-241 b,41.06091944482591,19.52753888871935,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0177874,12.718092
Kepler-79 e,44.38158055517409,20.03448055558735,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0129,81.065298
Kepler-254 b,45.81651111072964,19.21098055521647,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0475314,5.826662
Kepler-1623 b,39.55611111111111,19.60551388899485,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1,0,0,0,0,0.00752338,4.36128348
Kepler-1226 b,50.6214722220103,19.7584611108568,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.02,0,0,0,0,0.010441,17.2923453
Kepler-169 d,40.91931944449743,19.06666111098395,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00638668,8.348125
Kepler-227 c,48.14165000014835,19.46228055530124,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0275635,54.418694
Kepler-235 e,39.27831944465637,19.07193888876173,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0166981,46.183669
Kepler-1523 b,45.82705555597941,19.73693611118529,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.97,0,0,0,0,0.0117956,0.93875077
Kepler-217 b,46.27751944435967,19.53585000011656,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0167934,5.374943
Kepler-20 d,42.33869444423252,19.17986777729458,1,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,0,,,0.912,0,0,0,0,0.0236865,77.61184
Kepler-82 e,42.96613888846504,19.52488888899485,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.019315,5.902206
Kepler-180 c,49.77458055549198,19.70476111094157,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.027035,41.885775
GJ 15 A b,44.02195555580987,0.3057055558098687,0,http://adsabs.harvard.edu/abs/2014ApJ...794...51H,Howard 2014,0,,Predicted,0.375,0,0,0,0,0.0168,11.4433
Kepler-100 c,41.99024999989404,19.42573222266303,1,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,0,,,1.08,0,0,0,0,0,12.8159
Kepler-989 b,47.23363888889551,18.77219444433848,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.82,0,0,0,0,0.0165864,7.96431535
